MMS ID,Handle,Title,dc:type,dc:format,dcterms:format,Thumbnail?,File Opens?,Needs Attention?
991011507131404641,http://hdl.handle.net/11084/26660,"""Landscape structure and genetic architecture jointly impact rates of niche evolution""",article,born digital,application/pdf,,,
991011507131504641,http://hdl.handle.net/11084/26659,"""Local adaptation and range boundary formation in response to complex environmental gradients across the geographical range of Clarkia xantiana ssp. Xantiana""",essays,born digital,,,,
991011507131604641,http://hdl.handle.net/11084/26658,"""The Hutchinsonian niche as an assemblage of demographic niches: implications for species geographic ranges""",essays,born digital,,,,
991011507131704641,http://hdl.handle.net/11084/3405,"""Guattari Hero : Subjective Arrangements in the Contemporary Genre Film""",essays,born digital,,,,
991011507131804641,http://hdl.handle.net/11084/26657,"""Contrasting soil-texture niches facilitate coexistence of two congeneric plants that differ in competitive ability""",essays,born digital,,,,
991011507131904641,http://hdl.handle.net/11084/3404,"""Capitalism is a Fairy Story : The Work of Love in I Am Love""",essays,born digital,,,,
991011507132004641,http://hdl.handle.net/11084/26656,"""Does probability of occurrence relate to population dynamics?""",essays,born digital,,,,
991011507132104641,http://hdl.handle.net/11084/3403,"""Trans/Affect, Monstrous Masculinities, and the Sublime Art of Lady Gaga""",essays,born digital,,,,
991011507132204641,http://hdl.handle.net/11084/3402,"""The Film-Work Does Not Think : Refiguring Fantasy for Feminist Film Theory""",book,reformatted digital,,,,
991011507132304641,http://hdl.handle.net/11084/26655,"""Electrolytes: From Sports Drinks to Batteries""",essays,reformatted digital,,,,
991011507132404641,http://hdl.handle.net/11084/3387,"""Transnational Noir : Style and Substance in Hayashi Kaizo's The Most Terrible Time in My Life""",book,reformatted digital,,,,
991011507132504641,http://hdl.handle.net/11084/26654,"""Big Data under Obama and Trump: The Data-Fueled U.S. Presidency""",essays,born digital,,,,
991011507132604641,http://hdl.handle.net/11084/3386,"""Each Film Was Built as a Chamber and Became a Corridor : Maya Deren's Film Aesthetics as Feminist Praxis""",book,reformatted digital,,,,
991011507132704641,http://hdl.handle.net/11084/26653,"""Collaborating on Oral Histories""",essays,reformatted digital,,,,
991011507132804641,http://hdl.handle.net/11084/3328,"""Using a /""SmartPen/"" to Promote Access and Engagement""",poster,born digital,,,,
991011507132904641,http://hdl.handle.net/11084/2417,"""Conard Environmental Research Area""",book,reformatted digital,,,,
991011507133004641,http://hdl.handle.net/11084/3327,"""Using iPads to Promote Engagement and Interaction""",poster,born digital,,,,
991011507133104641,http://hdl.handle.net/11084/23739,"""Grinnell Science Project: Motivating First-Year Students to Persist in Scientific Inquiry""",essays,born digital,,,,
991011507133204641,http://hdl.handle.net/11084/3326,"""Elliptic Factors in Jacobians of Hyperelliptic Curves with Certain Automorphism Groups""",essays,born digital,,,,
991011507133304641,http://hdl.handle.net/11084/3247,"""Technical Services Transparency: Using a LibGuide to Expose the Mysteries of Technical Services""",essays,born digital,,,,
991011507133404641,http://hdl.handle.net/11084/23345,"""Facilitating Collaborative Metadata Creation for Faculty-initiated Digital Projects""",text,born digital,application/pdf,,,
991011507133504641,http://hdl.handle.net/11084/3233,"""Physical Education Complex""",book,reformatted digital,,,,
991011507133604641,http://hdl.handle.net/11084/231,"""Current Perspectives on Porgy and Bess""",essays,born digital,,,,
991011507133704641,http://hdl.handle.net/11084/3203,"""Success through Community: Engagement at Grinnell College Libraries""",book,born digital,,,,
991011507133804641,http://hdl.handle.net/11084/230,"""Surveying Current Perspectives of Porgy and Bess""",essays,born digital,,,,
991011507133904641,http://hdl.handle.net/11084/3201,"""Engaging Educational Employment Experiences for Students in Special Collections""",poster,born digital,,,,
991011507134004641,http://hdl.handle.net/11084/23043,"""Q.E.D.: What Emily Dickinson Did with Her Mathematics Books""",essays,born digital,,,,
991011507134104641,http://hdl.handle.net/11084/31979,"""A Comprehensive Model for Undergraduate Science Education Reform to Better Serve the Underserved""",book chapter,born digital,application/pdf,,,
991011507134204641,http://hdl.handle.net/11084/23042,"""A Role for Ecology in the Evolution of Colour Variation and Sexual Dimorphism in Hawaiian Damselfiles""",essays,born digital,,,,
991011507134304641,http://hdl.handle.net/11084/28276,"""A Pandemic at the Library: Lessons from COVID-19 About Technology Needs For Remote Working During a Crisis""",poster,born digital,,,,
991011507134404641,http://hdl.handle.net/11084/28275,"""Using Primo Analytics to Understand Patron Search Strategies""",essay,born digital,,,,
991011507134504641,http://hdl.handle.net/11084/227,"""Indispensable in a Civilized Society, as Necessary as Food:/"" A Consideration of Manuel Payno's Monumental Effort to Found the Biblioteca Nacional de Mexico""",essays,born digital,,,,
991011507134604641,http://hdl.handle.net/11084/27858,"""Grinnell College Musical Instrument Collection""",dataset,born digital,application/warc,,,
991011507134704641,http://hdl.handle.net/11084/223,"""Discovery-based Gauss's law""",essays,born digital,,,,
991011507134804641,http://hdl.handle.net/11084/27856,"""The Global Mongol Century""",dataset,born digital,application/warc,,,
991011507134904641,http://hdl.handle.net/11084/21182,"""Let's Talk About Collections and Space.""",essays,reformatted digital,,,,
991011507135004641,http://hdl.handle.net/11084/27809,"""The Political Economy of Collective Action and Radical Reform: A Proposed Conceptual Framework""",proceedings,,application/pdf,,,
991011507135104641,http://hdl.handle.net/11084/21181,"""Metadata for Digital Scholarship: New Roles for Technical Services Librarians""",essays,reformatted digital,,,,
991011507135204641,http://hdl.handle.net/11084/27808,"""Facing Uncertainty: Norms and Formal Institutions as Shared Mental Models""",proceedings,,application/pdf,,,
991011507135304641,http://hdl.handle.net/11084/208,"""Conard: Academic Correspondence""",text,reformatted digital,,,,
991011507135404641,http://hdl.handle.net/11084/27807,"""Review of Complexity and the Art of Public Policy""",book review,,application/pdf,,,
991011507135504641,http://hdl.handle.net/11084/27788,"""Adoption of the No-Requirements Curriculum""",article,born digital,,,,
991011507135604641,http://hdl.handle.net/11084/206,"""Introduction: Phytosociology in Relation to Biology.""",essays,reformatted digital,,,,
991011507135704641,http://hdl.handle.net/11084/27777,"""Alumni Oral Histories: A Collaboration Between the Libraries and Development and Alumni Relations""",essays,born digital,,,,
991011507135804641,http://hdl.handle.net/11084/202,"""Henry S. Conard Publications""",text,reformatted digital,,,,
991011507135904641,http://hdl.handle.net/11084/26882,"""LaFexCo(1G?AEx)O3 Thin-Film Oxygen Reduction Catalysts Prepared Using Spray Pyrolysis without Conductive Additives""",essays,born digital,,,,
991011507136004641,http://hdl.handle.net/11084/20234,"""Collaborating for metadata creation on digital projects: using Google Forms and Sheets""",essays,reformatted digital,,,,
991011507136104641,http://hdl.handle.net/11084/26707,"""Data Analysis: An Adjunct to Mathematical Statistics at Oberlin College [002]""",essays,digitized other analog,,,,
991011507136204641,http://hdl.handle.net/11084/201,"""Professor Conard in Amsterdam""",newspaper,digitized other analog,,,,
991011507136304641,http://hdl.handle.net/11084/199,"""Conard, 97, Dies; Iowa Botanist""",image,reformatted digital,,,,
991011507136404641,http://hdl.handle.net/11084/26705,"""Tricks of the Trade: Getting Going the First Day""",essays,digitized other analog,,,,
991011507136504641,http://hdl.handle.net/11084/197,"""Books by Henry S. Conard""",image,reformatted digital,,,,
991011507136604641,http://hdl.handle.net/11084/26704,"""Science Education and Quantitative Literacy""",essays,digitized other analog,,,,
991011507136704641,http://hdl.handle.net/11084/196,"""The Course of Events""",essays,reformatted digital,,,,
991011507136804641,http://hdl.handle.net/11084/26703,"""My First Days' Lectures: Past and Present""",essays,digitized other analog,,,,
991011507136904641,http://hdl.handle.net/11084/26702,"""Mathematics and Statistics: An Uneasy Marriage""",essays,digitized other analog,,,,
991011507137004641,http://hdl.handle.net/11084/19511,"""Extending the Conversation: The Liberal Arts Scholarly Repository (LASR)""",essays,reformatted digital,,,,
991011507137104641,http://hdl.handle.net/11084/26701,"""Revisiting Fisher's Tea Tasting Lady""",essays,digitized other analog,,,,
991011507137204641,http://hdl.handle.net/11084/19506,"""Were You There - Roland Hayes (1940), essay""",essays,reformatted digital,,,,
991011507137304641,http://hdl.handle.net/11084/26700,"""Low-Tech Ideas for Teaching Statistics""",essays,digitized other analog,,,,
991011507137404641,http://hdl.handle.net/11084/18460,"""Setting a Course: Using Google Forms for Navigating Metadata for Digital Projects.""",poster,born digital,,,,
991011507137504641,http://hdl.handle.net/11084/26699,"""Statistics within Departments of Mathematics at Liberal Arts Colleges""",essays,digitized other analog,,,,
991011507137604641,http://hdl.handle.net/11084/18242,"""The Library Graduate Assistantship: A Crucial Supplement to an LIS Education.""",poster,born digital,,,,
991011507137704641,http://hdl.handle.net/11084/26698,"""Recruiting and Training Undergraduates Through Statistical Consulting""",essays,digitized other analog,,,,
991011507137804641,http://hdl.handle.net/11084/17947,"""Northern Designs: British Science, Imperialism, and Improvement at the Dawn of the Anthropocene""",essays,born digital,,,,
991011507137904641,http://hdl.handle.net/11084/26697,"""Writing Papers in a Statistics Course""",essays,digitized other analog,,,,
991011507138004641,http://hdl.handle.net/11084/17946,"""Tapping natureG??s bounty: science and sugar maples in the age of improvement""",essays,born digital,,,,
991011507138104641,http://hdl.handle.net/11084/170,"""The Life of a Library Text: Grinnell College's Black Library""",compound,born digital,,,,
991011507138204641,http://hdl.handle.net/11084/26696,"""Let us Change the Most Disliked Course on Campus""",essays,digitized other analog,,,,
991011507138304641,http://hdl.handle.net/11084/13255,"""The Mosque as a 'School of Democracy': Civic Skill Opportunity and Houses of Worship in Indonesia""",essays,reformatted digital,,,,
991011507138404641,http://hdl.handle.net/11084/26695,"""Data Analysis: An Adjunct to Mathematical Statistics at Oberlin College [001]""",essays,digitized other analog,,,,
991011507138504641,http://hdl.handle.net/11084/10000,"""Computer Science Mentored Advanced Project""",compound,born digital,application/pdf,,,
991011507138604641,http://hdl.handle.net/11084/13253,"""Completely Decomposable Jacobian Varieties in New Genera""",essays,born digital,,,,
991011507138704641,http://hdl.handle.net/11084/26694,"""Teaching Statistics as a Respectable Subject""",essays,digitized other analog,,,,
991011507138804641,http://hdl.handle.net/11084/35245,"""Descriptive Attributes for Language-based Object Keypoint Detection""",compound,born digital,,,,
991011507138904641,http://hdl.handle.net/11084/26693,"""Getting More Data into Theoretical Statistics Courses""",essays,digitized other analog,,,,
991011507139004641,http://hdl.handle.net/11084/13252,"""Experimental studies of selection and adaptation in Clarkia xantiana (Onagraceae). III. Phenotypic selection across a subspecies""",essays,reformatted digital,,,,
991011507139104641,http://hdl.handle.net/11084/6266,"""A Discriminative Semi-Markov Model for Robust Scene Text Recognition""",compound,born digital,,,,
991011507139204641,http://hdl.handle.net/11084/26692,"""Multivariate Statistical Analysis for Mathematics Majors""",essays,digitized other analog,,,,
991011507139304641,http://hdl.handle.net/11084/13251,"""Studio Faculty Exhibition 2016, Faulconer Gallery, Grinnell COllege""",book,reformatted digital,,,,
991011507139404641,http://hdl.handle.net/11084/5000,"""China Adventure - A Blog by Professor Daniel Kaiser""",compound,born digital,,,,
991011507139504641,http://hdl.handle.net/11084/26691,"""Alternative Introductions to Applied Statistics for Mathematics Students""",essays,digitized other analog,,,,
991011507139604641,http://hdl.handle.net/11084/11683,"""Lith Bibliography""",text,born digital,,,,
991011507139704641,http://hdl.handle.net/11084/19503,"""Death and Ressurextion of Christi""",compound,,,,,
991011507139804641,http://hdl.handle.net/11084/26690,"""Some Favorite Data Sets: Using the Computer on Real Data in Class""",essays,digitized other analog,,,,
991011507139904641,http://hdl.handle.net/11084/11682,"""Fair Wages, Worker Motivation and Implicit Bargaining Power in Segmented Labor Markets""",essays,born digital,,,,
991011507140004641,http://hdl.handle.net/11084/18491,"""The Digital Potential: Making Digital Objects More Than a TIFF Image and a MODS Record""",compound,,,,,
991011507140104641,http://hdl.handle.net/11084/26689,"""Consulting: An Aid In Recruiting Statistics Students Or Statistical Consulting In Training Students""",essays,digitized other analog,application/pdf,,,
991011507140204641,http://hdl.handle.net/11084/11680,"""Explaining the Rising Wage-Productivity Gap on the 1980s: Effects of Declining Employment and Unionization""",essays,born digital,,,,
991011507140304641,http://hdl.handle.net/11084/11679,"""Union Bargaining Power in an Efficiency Wage Environment""",essays,born digital,,,,
991011507140404641,http://hdl.handle.net/11084/331,"""Organizing For The Future""",compound,born digital,,,,
991011507140504641,http://hdl.handle.net/11084/26688,"""Opportunities for Statisticians at 4-Year Undergraduate Institutions""",essays,digitized other analog,,,,
991011507140604641,http://hdl.handle.net/11084/11678,"""A Two-Sector Effort-Regulation Model with Implications for Wage Developments of the 1980s""",essays,born digital,,,,
991011507140704641,http://hdl.handle.net/11084/26687,"""Multivariate Descriptive Statistics, An Alternative Introduction to Statistics""",essays,digitized other analog,,,,
991011507140804641,http://hdl.handle.net/11084/144,"""Tod und Auferstehung""",compound,,application/pdf,,,
991011507140904641,http://hdl.handle.net/11084/11657,"""Worker Motivation, Wages, and Bilateral Market Power in Nonunion Labor Markets""",essays,born digital,,,,
991011507141004641,http://hdl.handle.net/11084/26685,"""Applied Introductory Statistics Courses for Mathematics Majors at Liberal Arts Colleges""",essays,digitized other analog,,,,
991011507141104641,http://hdl.handle.net/11084/23333,"""Code and Data for /""[Rp] Reproducing: 'Typographical features for scene text recognition'/""""",compound,born digital,,,,
991011507141204641,http://hdl.handle.net/11084/11646,"""Social Context and the Spread of HIV: A Game-theoretic Investigation on Impacts of Social Stigma and HIV Education on Epidemic Outcomes""",essays,born digital,,,,
991011507141304641,http://hdl.handle.net/11084/26684,"""Forecasting/Time Series Analysis: An Introduction to Applied Statistics for Mathematics Students""",essays,digitized other analog,,,,
991011507141404641,http://hdl.handle.net/11084/23320,"""Deep Neural Networks for Text Detection and Recognition in Historical Maps""",compound,born digital,,,,
991011507141504641,http://hdl.handle.net/11084/11475,"""Cycles of Conflict: A Computational Modeling Alternative to Collins's Theory of Conflict Escalation""",essays,born digital,,,,
991011507141604641,http://hdl.handle.net/11084/26667,"""Reduced pollinator service and elevated pollen limitation at the geographic range limit of an annual plant""",essays,reformatted digital,,,,
991011507141704641,http://hdl.handle.net/11084/34450,"""Counting the Corner Cases: Revisiting Robust Reading Challenge Data Sets, Evaluation Protocols, and Metrics""",compound,born digital,,,,
991011507141804641,http://hdl.handle.net/11084/1099,"""The Peter Ridgway Jordan Collection""",book,reformated digital,,,,
991011507141904641,http://hdl.handle.net/11084/26666,"""Experimental Studies of Adaptation in Clarkia Xantiana. I. Sources of Trait Variation Across a Subspecies Border""",essays,reformatted digital,,,,
991011507142004641,http://hdl.handle.net/11084/10010,"""ACM Works of Dr. Henry M. Walker""",text,born digital,,,,
991011507142104641,http://hdl.handle.net/11084/32100,"""The Collembola of North America, North of the Rio Grande: A Taxonomic Analysis - 4 Volumes""",compound,digitized other analog,application/pdf,,,
991011507142204641,http://hdl.handle.net/11084/26665,"""The effects of floral display on pollinator visitation vary among populations of Phacelia linearis (Hydrophyllaceae)""",essays,born digital,,,,
991011507142304641,http://hdl.handle.net/11084/13118,"""Ken Christiansen Collembola Collection""",compound,reformatted digital,,,,
991011507142404641,http://hdl.handle.net/11084/26664,"""Wood Anatomy of Hydrophyllaceae. II. GeneraOther Tan Eriodictyon, with Comments on Parenchyma Bands Containing Vessels with Large Pits""",essays,digitized other analog,,,,
991011507196704641,http://hdl.handle.net/11084/100,"""Avoiding the New Cold War: Environmental Conflict Resolution and the Need for an International Legal Regime in the High Arctic""",text,born digital,,,,
991011507198204641,http://hdl.handle.net/11084/31911,"""Sin for a Sign? Another Look at Milton's Sin and Death""",text,Born digital,,,,
991011507198304641,http://hdl.handle.net/11084/31910,"""Divinity and Power: Gendered Constructions of Identity in Portraits of Marie De Medici and Henry IV""",text,Born digital,,,,
991011507198404641,http://hdl.handle.net/11084/3190,"""P.A.L.S. Volunteer Retention Project, Final Report""",text,born digital,,,,
991011507198504641,http://hdl.handle.net/11084/31909,"""Women's Rights and Development in India""",text,Born digital,,,,
991011507198604641,http://hdl.handle.net/11084/31908,"""Speech: French Identity and Music under Nazi Occupation""",text,Born digital,,,,
991011507198704641,http://hdl.handle.net/11084/31907,"""Quatrevingt-Treize in Soixante-Quatorze: Victor Hugo's Portrayal of the Revolution""",text,Born digital,,,,
991011507198804641,http://hdl.handle.net/11084/31906,"""Security (Short Story)""",text,Born digital,,,,
991011507198904641,http://hdl.handle.net/11084/31905,"""Hunting for a Hen: Bird Imagery and Erotic Connotations in Rembrandt, Snyders and Dow""",text,Born digital,,,,
991011507199004641,http://hdl.handle.net/11084/31904,"""Biopolitics and the Experience of the Cambodian Genocide""",text,Born digital,,,,
991011507199104641,http://hdl.handle.net/11084/31903,"""Matter, Agency, and Transcendence in Milton's Prose and Verse""",text,Born digital,,,,
991011507199204641,http://hdl.handle.net/11084/31902,"""/""The Unfortunate Persons from St. Domingo/"": Refugees from the Haitian Revolution and the Contradictions of Early American Politics""",text,Born digital,,,,
991011507199304641,http://hdl.handle.net/11084/31901,"""Amorous Complaint in a Simple Story: A Manipulation and Rejection of Traditional Gender Roles""",text,Born digital,,,,
991011507199404641,http://hdl.handle.net/11084/31900,"""Shadows and Bloodlines in the Royal Family Potrait: Francisco Goya and 18th Century Mexican Casta Paintings""",text,Born digital,,,,
991011507199504641,http://hdl.handle.net/11084/318,"""Altering Clay: Enhancing Daily Rituals""",poster,born digital,,,,
991011507199604641,http://hdl.handle.net/11084/31899,"""Translating Identities: The Poetry of Angel Island""",text,Born digital,,,,
991011507199704641,http://hdl.handle.net/11084/31898,"""Allusion to Homer in the Mosaic of Odysseus and the Sirens from Dougga""",text,Born digital,,,,
991011507199804641,http://hdl.handle.net/11084/315,"""Guide to Prairie Sites near Grinnell, Iowa""",book,digitized other analog,,,,
991011507199904641,http://hdl.handle.net/11084/3061,"""Grinnellians in the Era of Disunion""",book,born digital,image/tiff,,,
991011507200004641,http://hdl.handle.net/11084/3057,"""Preparedness for Higher Education among Grinnell High School Graduates""",text,born digital,,,,
991011507200104641,http://hdl.handle.net/11084/3056,"""An Evaluation of Galaxy, Inc.'s Fundraising Strategy""",text,born digital,,,,
991011507200204641,http://hdl.handle.net/11084/30067,"""Milton and the Disintegration of the Public Space""",text,born digital,,,,
991011507200304641,http://hdl.handle.net/11084/30066,"""Buddhism, Homosexuality, and Non-Binary Genders in Thailand""",text,born digital,,,,
991011507200404641,http://hdl.handle.net/11084/29788,"""The Fortunes of Grenceaster: A Collection of Stories""",book,reformated digital,application/pdf,,,
991011507200504641,http://hdl.handle.net/11084/29703,"""Quenching Timescales of Dwarf Satellites around Milky Way-Mass Hosts""",article,reformated digital,application/pdf,,,
991011507200604641,http://hdl.handle.net/11084/29700,"""Birth of a Nation as an ‘Educational’ Tool for Racialized Violence""",text,reformated digital,application/pdf,,,
991011507200704641,http://hdl.handle.net/11084/29699,"""Just, Open, Plural: Third Reconstruction: Liberalism, Americanism, Madisonianism""",text,reformated digital,application/pdf,,,
991011507200804641,http://hdl.handle.net/11084/29698,"""On White Eyes""",text,reformated digital,application/pdf,,,
991011507200904641,http://hdl.handle.net/11084/28278,"""Inheriting the Iowa Diary: Little Women and Their Audiences on the Prairie""",text,born digital,,,,
991011507201004641,http://hdl.handle.net/11084/28277,"""Characterizing the Soil Microbiome and Quantifying Antibiotic Resistance Gene Dynamics in Agricultural Soil Following Swine CAFO Manure Application""",text,born digital,,,,
991011507201104641,http://hdl.handle.net/11084/26709,"""Sacre Quantique for Brass Quintet""",score,reformated digital,application/pdf,,,
991011507201204641,http://hdl.handle.net/11084/26708,"""Working Hard in Hollywood: How Hollywood Casting Directors' Performances of Gatekeeping Invest in Whiteness""",text,reformated digital,application/pdf,,,
991011507201404641,http://hdl.handle.net/11084/10450,"""Improved Point Transformation Methods for Self-Supervised Depth Prediction""",compound,born digital,,,,
991011507201504641,http://hdl.handle.net/11084/26671,"""“If You are Going to Say You’re Afro-Latina That Means That You are Black”: Afro-Latinxs Contesting the Dilution of Afro-Latinid""",text,reformated digital,application/pdf,,,
991011507201604641,http://hdl.handle.net/11084/5650,"""The Grinnell Beowulf: A Translation with Notes (Recorded Discussions)""",compound,born digital,,,,
991011507201704641,http://hdl.handle.net/11084/26670,"""Japanese American Artisan of California Cuisine and Produce""",text,digitized other analog,application/pdf,,,
991011507201804641,http://hdl.handle.net/11084/19349,"""A Data Set of Annotated Historical Maps (2017)""",compound,,,,,
991011507201904641,http://hdl.handle.net/11084/26669,"""Eating Graphic History: Japanese American Pioneers of the California Food Revolution""",text,reformated digital,application/pdf,,,
991011507202004641,http://hdl.handle.net/11084/167,"""Exploring Self-Governance at Grinnell""",compound,born digital,,,,
991011507202104641,http://hdl.handle.net/11084/26668,"""Reclassifying Islamist Organizations: A Multidimensional Typology of Political Islam""",text,reformated digital,application/pdf,,,
991011507202204641,http://hdl.handle.net/11084/123,"""The Effects of Higher Commodity Prices and Tax Changes on the Honduran Economy""",compound,born digital,application/pdf,,,
991011507202304641,http://hdl.handle.net/11084/232,"""A Beginner's Guide to Wild Edible Plants in the Grinnell Area""",book,reformated digital,,,,
991011507202404641,http://hdl.handle.net/11084/120,"""Grinnell’s Program in Practical Political Education""",compound,born digital,,,,
991011507202504641,http://hdl.handle.net/11084/51,"""Analysis of an Unidentified Medieval Codex in the Grinnell College Libraries Department of Special Collections and Archives""",compound,born digital,,,,
991011507202604641,http://hdl.handle.net/11084/23297,"""Ferdinand Oyono's Houseboy (1956): The Power Struggles between France and West Africa""",text,born digital,application/pdf,,,
991011507202704641,http://hdl.handle.net/11084/221,"""Education and Communication: Prevention of Intimate Partner Violence""",article,born digital,application/pdf,,,
991011507202804641,http://hdl.handle.net/11084/3417,"""Iowa: Lines, Borders, Boundaries""",compound,born digital,application/pdf,,,
